time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
2.22867,2.11063,-3.06307,10.0049
2.23871,1.8133,-3.40529,10.1125
2.24875,1.68027,-3.58201,10.4307
2.25879,1.82751,-3.53457,10.6956
2.26882,2.03102,-3.30623,10.7589
2.27886,2.19607,-2.96386,10.7116
2.2889,2.21103,-2.53545,10.6839
2.29894,2.13307,-1.96578,10.5668
2.30898,2.02533,-1.37322,10.282
2.31902,1.93121,-0.810882,9.98916
2.32906,1.70781,-0.159214,9.69722
2.3391,1.44459,0.682045,9.51496
2.34914,1.32309,1.22463,9.36981
2.35918,1.36454,1.52914,9.27793
2.36922,1.37726,1.89066,9.2305
2.37925,1.41691,2.18979,9.21733
2.38929,1.5034,2.38596,9.28826
2.39933,1.50909,2.54383,9.36742
2.40937,1.47407,2.67655,9.46423
2.41941,1.5019,2.7831,9.54608
2.42945,1.51702,2.79312,9.59008
2.43949,1.50864,2.74808,9.5808
2.44953,1.523,2.6981,9.50344
2.45957,1.55218,2.65082,9.44747
2.46961,1.53393,2.59889,9.38028
2.47964,1.48081,2.53649,9.33061
2.48968,1.36035,2.38805,9.42039
2.49972,1.20503,2.20086,9.52798
2.50976,1.16567,2.04808,9.56179
2.5198,1.25815,1.94109,9.5793
2.52984,1.43397,1.82258,9.46648
2.53988,1.65319,1.69868,9.4162
2.54992,1.74925,1.69,9.47815
2.55996,1.82856,1.92448,9.27314
2.57,1.74477,2.11557,9.07682
2.58004,1.53931,2.27059,9.11483
2.59007,1.27311,2.38746,9.19189
2.60011,1.01813,2.4319,9.26776
2.61015,0.922361,2.42068,9.34437
2.62019,0.856671,2.40781,9.33869
2.63023,0.787838,2.43384,9.29559
2.64027,0.688479,2.44596,9.30621
2.65031,0.665884,2.48068,9.3547
2.66035,0.723195,2.53186,9.45406
2.67039,0.736213,2.5332,9.53336
2.68043,0.70479,2.58094,9.51122
2.69046,0.629373,2.62568,9.4373
2.7005,0.555153,2.6354,9.39734
2.71054,0.441429,2.59231,9.3957
2.72058,0.33803,2.57166,9.39226
2.73062,0.272489,2.56732,9.33016
2.74066,0.295233,2.54817,9.30816
2.7507,0.323515,2.55849,9.33704
2.76074,0.348953,2.50357,9.41919
2.77078,0.361523,2.37698,9.54982
2.78082,0.326508,2.29693,9.63317
2.79086,0.336084,2.21103,9.67642
2.80089,0.389056,2.09177,9.71038
2.81093,0.486469,2.02698,9.74495
2.82097,0.544528,1.9996,9.68869
2.83101,0.527021,2.00902,9.64275
2.84105,0.494849,2.05691,9.6218
2.85109,0.481531,2.1232,9.5992
2.86113,0.451754,2.19592,9.56583
2.87117,0.441878,2.22555,9.53591
2.88121,0.412549,2.18515,9.53546
2.89125,0.349851,2.10419,9.58738
2.90128,0.272339,2.02773,9.6001
2.91132,0.282365,1.92583,9.59726
2.92136,0.368705,1.80223,9.5781
2.9314,0.420928,1.66276,9.49416
2.94144,0.394443,1.58151,9.44208
2.95148,0.381574,1.63044,9.42712
2.96152,0.343566,1.67833,9.40857
2.97156,0.356585,1.69987,9.4168
2.9816,0.408359,1.74387,9.48159
2.99164,0.450108,1.78966,9.52214
3.00168,0.553207,1.81016,9.54863
3.01171,0.681297,1.76362,9.5805
3.02175,0.738607,1.72187,9.62554
3.03179,0.732023,1.70182,9.68928
3.04183,0.673067,1.68312,9.75438
3.05187,0.62623,1.62775,9.81513
3.06191,0.64284,1.56311,9.82426
3.07195,0.755516,1.51837,9.79762
3.08199,0.805794,1.51043,9.79373
3.09203,0.852182,1.59004,9.71442
3.10207,0.909343,1.66336,9.65711
3.1121,0.988052,1.72591,9.64888
3.12214,1.03893,1.77499,9.51885
3.13218,1.04342,1.83799,9.40034
3.14222,0.995384,1.90218,9.38268
3.15226,0.905004,1.96892,9.3553
3.1623,0.806393,2.00977,9.33075
3.17234,0.783199,1.95486,9.27374
3.18238,0.829736,1.82273,9.19907
3.19242,0.850685,1.72531,9.12575
3.20246,0.789933,1.66247,9.11408
3.2125,0.66753,1.61847,9.12635
3.22253,0.563383,1.61353,9.17528
3.23257,0.4326,1.66501,9.27524
3.24261,0.292241,1.6897,9.3101
3.25265,0.2059,1.64645,9.32372
3.26269,0.21009,1.64615,9.30158
3.27273,0.269496,1.67623,9.27419
3.28277,0.320073,1.70362,9.2703
3.29281,0.327854,1.772,9.27733
3.30285,0.295832,1.86687,9.28242
3.31289,0.311245,1.90069,9.24247
3.32292,0.365413,1.91685,9.15314
3.33296,0.447713,1.85535,9.04106
3.343,0.454896,1.71948,9.04644
3.35304,0.376187,1.67893,9.07637
3.36308,0.326807,1.68596,9.04719
3.37312,0.305558,1.58046,9.06709
3.38316,0.27623,1.50849,9.12875
3.3932,0.288649,1.40584,9.13668
3.40324,0.342968,1.29137,9.21239
3.41328,0.386811,1.16552,9.27359
3.42332,0.395041,1.04013,9.30681
3.43335,0.362271,0.893781,9.3722
3.44339,0.322617,0.562186,9.39809
3.45343,0.378282,0.0490809,9.38732
3.46347,0.450407,-0.479436,9.44852
3.47351,0.468214,-0.882558,9.63257
3.48355,0.408209,-1.23555,9.7656
3.49359,0.312741,-1.61009,9.89578
3.50363,0.286704,-1.96548,10.0638
3.51367,0.429308,-2.4313,10.1318
3.52371,0.640745,-3.01728,10.0979
3.53374,0.893182,-3.44943,10.0323
3.54378,1.12003,-3.82038,9.96372
3.55382,1.27042,-4.17173,9.90895
3.56386,1.33162,-4.33513,9.99275
3.5739,1.34972,-4.35593,10.2681
3.58394,1.17734,-4.29847,10.5059
3.59398,1.04791,-4.13192,10.5705
3.60402,1.26144,-3.96493,10.5172
3.61406,1.57029,-3.8952,10.2554
3.6241,1.66695,-3.73119,9.89728
3.63414,1.64765,-3.30383,9.8048
3.64417,1.50864,-2.83367,10.0981
3.65421,1.14906,-2.41828,10.3772
3.66425,0.555452,-2.05107,10.6359
3.67429,-0.151283,-1.50026,10.6866
3.68433,-0.606478,-0.727385,10.6033
3.69437,-0.698654,0.0809535,10.4831
3.70441,-0.557697,0.815222,10.3899
3.71445,-0.256627,1.64032,10.3724
3.72449,-0.130034,2.57375,10.3805
3.73453,-0.329201,3.60236,10.3496
3.74456,-0.776466,4.56198,10.4324
3.7546,-1.30827,5.24118,10.6238
3.76464,-1.81629,5.52504,10.7424
3.77468,-1.82856,5.52205,10.7507
3.78472,-1.28508,5.48389,10.8297
3.79476,-1.28508,5.48389,10.8297
3.8048,-0.0782601,5.45531,10.7227
3.81484,0.209342,5.4164,10.6591
3.82488,0.231638,5.38064,10.6347
3.83492,0.139761,5.30343,10.6212
3.84496,-0.00942712,5.15125,10.6538
3.85499,-0.00942712,5.15125,10.6538
3.86503,-0.553357,4.62872,10.4993
3.87507,-0.866996,4.2654,10.4054
3.88511,-1.12781,3.92827,10.3363
3.89515,-1.12781,3.92827,10.3363
3.90519,-1.22762,3.56854,10.2699
3.91523,-1.25665,3.07698,10.2829
3.92527,-1.16103,2.60383,10.313
3.93531,-0.922212,2.23857,10.3389
3.94535,-0.156819,1.77499,10.6176
3.95538,-0.156819,1.77499,10.6176
3.96542,0.00538693,1.50924,10.8787
3.97546,0.00538693,1.50924,10.8787
3.9855,0.0526722,1.33656,11.1635
3.99554,0.140509,1.14083,11.2199
4.00558,0.256627,0.905153,11.118
4.01562,0.398782,0.700151,10.9422
4.02566,0.572959,0.534054,10.8065
4.0357,0.631019,0.384866,10.6459
4.04574,0.779009,0.405965,10.3095
4.05578,0.974734,0.562635,10.0116
4.06581,1.08666,0.834525,9.82845
4.07585,1.12781,1.21385,9.60339
4.08589,1.08995,1.54306,9.4572
4.09593,0.998078,1.75958,9.44717
4.10597,0.832729,1.89246,9.41455
4.11601,0.756115,1.89575,9.35709
4.12605,0.779309,1.80627,9.25519
4.13609,0.819561,1.67114,9.20865
4.14613,0.777214,1.50041,9.22496
4.15617,0.673665,1.33311,9.22227
4.1662,0.608872,1.19874,9.15089
4.17624,0.548718,1.08921,9.06081
4.18628,0.506371,1.04013,9.02729
4.19632,0.516097,1.03758,9.03941
4.20636,0.501882,1.0521,9.04839
4.2164,0.385465,1.08247,9.09029
4.22644,0.255131,1.14472,9.16122
4.23648,0.204554,1.24633,9.25893
4.24652,0.210539,1.33192,9.30636
4.25656,0.302266,1.38564,9.35006
4.2666,0.367209,1.40344,9.34991
4.27663,0.392946,1.40689,9.35096
4.28667,0.42048,1.42783,9.35155
4.29671,0.452053,1.4416,9.37101
4.30675,0.488265,1.44833,9.41859
4.31679,0.533156,1.47347,9.49221
4.32683,0.584781,1.47632,9.58499
4.33687,0.622789,1.43038,9.70784
4.34691,0.707333,1.38878,9.78745
4.35695,0.899467,1.3385,9.81288
4.36699,1.08981,1.28688,9.92586
4.37702,1.17839,1.27281,10.0951
4.38706,1.12377,1.26099,10.187
4.3971,1.07903,1.23839,10.1786
